 View Zero , View One , View Two , View Three , View Four 
" $75,000.00 "," $217,000.00 "," $169,317.00 "," $154,000.00 "," $285,000.00 "
" $78,000.00 "," $230,500.00 "," $170,000.00 "," $259,900.00 "," $325,000.00 "
" $80,000.00 "," $240,000.00 "," $175,000.00 "," $262,500.00 "," $361,000.00 "
" $82,000.00 "," $245,000.00 "," $192,500.00 "," $265,000.00 "," $369,900.00 "
" $82,500.00 "," $255,000.00 "," $215,000.00 "," $270,000.00 "," $380,000.00 "
" $83,000.00 "," $260,000.00 "," $220,000.00 "," $272,000.00 "," $400,000.00 "
" $84,000.00 "," $268,000.00 "," $229,500.00 "," $280,000.00 "," $400,000.00 "
" $85,000.00 "," $272,000.00 "," $238,000.00 "," $280,950.00 "," $408,000.00 "
" $86,500.00 "," $279,900.00 "," $240,000.00 "," $290,000.00 "," $415,000.00 "
" $89,000.00 "," $284,850.00 "," $243,000.00 "," $293,000.00 "," $420,000.00 "
" $89,950.00 "," $285,000.00 "," $245,000.00 "," $299,950.00 "," $429,592.00 "
" $90,000.00 "," $295,000.00 "," $245,000.00 "," $299,990.00 "," $456,000.00 "
" $90,000.00 "," $310,000.00 "," $248,000.00 "," $305,000.00 "," $465,000.00 "
" $92,000.00 "," $320,000.00 "," $249,000.00 "," $308,130.00 "," $480,000.00 "
" $95,000.00 "," $320,000.00 "," $249,000.00 "," $325,000.00 "," $500,000.00 "
" $95,000.00 "," $323,000.00 "," $250,000.00 "," $325,000.00 "," $500,000.00 "
" $96,500.00 "," $324,950.00 "," $254,000.00 "," $328,000.00 "," $503,000.00 "
" $99,000.00 "," $325,000.00 "," $255,000.00 "," $330,000.00 "," $510,000.00 "
" $100,000.00 "," $330,000.00 "," $256,000.00 "," $338,500.00 "," $520,000.00 "
" $100,000.00 "," $335,000.00 "," $258,000.00 "," $340,000.00 "," $535,000.00 "
" $100,000.00 "," $339,900.00 "," $260,000.00 "," $340,000.00 "," $540,000.00 "
" $100,000.00 "," $343,000.00 "," $260,000.00 "," $340,000.00 "," $540,000.00 "
" $102,500.00 "," $345,000.00 "," $261,490.00 "," $345,000.00 "," $550,000.00 "
" $104,950.00 "," $345,000.00 "," $265,000.00 "," $348,000.00 "," $570,000.00 "
" $105,000.00 "," $350,000.00 "," $267,500.00 "," $349,990.00 "," $572,000.00 "
" $105,000.00 "," $350,000.00 "," $269,950.00 "," $350,000.00 "," $580,000.00 "
" $105,500.00 "," $355,000.00 "," $270,000.00 "," $355,000.00 "," $580,000.00 "
" $106,000.00 "," $355,000.00 "," $275,000.00 "," $360,000.00 "," $599,950.00 "
" $107,000.00 "," $370,000.00 "," $279,000.00 "," $360,000.00 "," $600,000.00 "
" $107,000.00 "," $374,950.00 "," $283,000.00 "," $361,000.00 "," $600,000.00 "
" $109,000.00 "," $374,950.00 "," $285,000.00 "," $367,000.00 "," $603,500.00 "
" $109,500.00 "," $375,000.00 "," $287,000.00 "," $368,000.00 "," $625,000.00 "
" $110,000.00 "," $380,000.00 "," $287,000.00 "," $370,000.00 "," $629,000.00 "
" $110,000.00 "," $389,000.00 "," $287,000.00 "," $370,000.00 "," $649,000.00 "
" $110,000.00 "," $389,950.00 "," $287,500.00 "," $375,000.00 "," $650,000.00 "
" $110,000.00 "," $390,000.00 "," $290,000.00 "," $380,000.00 "," $655,000.00 "
" $110,000.00 "," $400,000.00 "," $293,000.00 "," $380,000.00 "," $658,000.00 "
" $110,000.00 "," $405,000.00 "," $294,950.00 "," $385,000.00 "," $675,000.00 "
" $110,000.00 "," $406,000.00 "," $295,000.00 "," $394,250.00 "," $680,000.00 "
" $110,700.00 "," $407,000.00 "," $295,000.00 "," $397,500.00 "," $680,000.00 "
" $111,300.00 "," $415,000.00 "," $295,000.00 "," $402,000.00 "," $685,000.00 "
" $112,000.00 "," $418,200.00 "," $295,450.00 "," $410,000.00 "," $700,000.00 "
" $114,000.00 "," $425,000.00 "," $299,000.00 "," $415,000.00 "," $700,000.00 "
" $114,975.00 "," $435,000.00 "," $299,000.00 "," $415,000.00 "," $729,000.00 "
" $115,000.00 "," $445,000.00 "," $299,000.00 "," $416,100.00 "," $730,000.00 "
" $115,000.00 "," $446,000.00 "," $300,000.00 "," $420,000.00 "," $732,000.00 "
" $115,000.00 "," $448,500.00 "," $300,000.00 "," $421,000.00 "," $732,000.00 "
" $115,000.00 "," $449,900.00 "," $300,000.00 "," $423,500.00 "," $735,000.00 "
" $115,000.00 "," $450,000.00 "," $304,000.00 "," $425,000.00 "," $739,888.00 "
" $118,125.00 "," $450,000.00 "," $306,000.00 "," $425,000.00 "," $750,000.00 "
" $119,500.00 "," $451,555.00 "," $306,500.00 "," $425,000.00 "," $750,000.00 "
" $119,900.00 "," $453,500.00 "," $308,950.00 "," $425,590.00 "," $750,000.00 "
" $120,000.00 "," $454,800.00 "," $315,000.00 "," $430,000.00 "," $765,000.00 "
" $120,000.00 "," $463,000.00 "," $315,000.00 "," $432,000.00 "," $767,500.00 "
" $120,750.00 "," $465,000.00 "," $316,000.00 "," $432,000.00 "," $770,000.00 "
" $121,800.00 "," $471,750.00 "," $316,500.00 "," $435,000.00 "," $775,000.00 "
" $122,000.00 "," $474,950.00 "," $318,000.00 "," $438,950.00 "," $775,000.00 "
