price,,,,,,,,,,,,,,,,,,,,,,,,zips_by_price
365000,,,,,,,,,,,,,,,,,,,,,,,,18
865000,,,,,,,,,,,,,,,,,,,,,,,,47
1038000,,,,,,,,,,,,,,,,,,,,,,,,62
1490000,,,,,,,,,,,,,,,,,,,,,,,,37
711000,,,,,,,,,,,,,,,,,,,,,,,,53
211000,,,,,,,,,,,,,,,,,,,,,,,,10
790000,,,,,,,,,,,,,,,,,,,,,,,,45
680000,,,,,,,,,,,,,,,,,,,,,,,,58
384500,,,,,,,,,,,,,,,,,,,,,,,,46
605000,,,,,,,,,,,,,,,,,,,,,,,,64
638000,,,,,,,,,,,,,,,,,,,,,,,,50
385000,,,,,,,,,,,,,,,,,,,,,,,,24
175000,,,,,,,,,,,,,,,,,,,,,,,,12
365000,,,,,,,,,,,,,,,,,,,,,,,,23
160000,,,,,,,,,,,,,,,,,,,,,,,,30
1070000,,,,,,,,,,,,,,,,,,,,,,,,35
800000,,,,,,,,,,,,,,,,,,,,,,,,69
795127,,,,,,,,,,,,,,,,,,,,,,,,56
355000,,,,,,,,,,,,,,,,,,,,,,,,37
474000,,,,,,,,,,,,,,,,,,,,,,,,40
485000,,,,,,,,,,,,,,,,,,,,,,,,22
930000,,,,,,,,,,,,,,,,,,,,,,,,17
920000,,,,,,,,,,,,,,,,,,,,,,,,57
560000,,,,,,,,,,,,,,,,,,,,,,,,32
654000,,,,,,,,,,,,,,,,,,,,,,,,50
549000,,,,,,,,,,,,,,,,,,,,,,,,57
290000,,,,,,,,,,,,,,,,,,,,,,,,29
275000,,,,,,,,,,,,,,,,,,,,,,,,16
329990,,,,,,,,,,,,,,,,,,,,,,,,13
750000,,,,,,,,,,,,,,,,,,,,,,,,64
425000,,,,,,,,,,,,,,,,,,,,,,,,13
515000,,,,,,,,,,,,,,,,,,,,,,,,54
605000,,,,,,,,,,,,,,,,,,,,,,,,52
250000,,,,,,,,,,,,,,,,,,,,,,,,1
330000,,,,,,,,,,,,,,,,,,,,,,,,37
984000,,,,,,,,,,,,,,,,,,,,,,,,68
827500,,,,,,,,,,,,,,,,,,,,,,,,49
485000,,,,,,,,,,,,,,,,,,,,,,,,14
306000,,,,,,,,,,,,,,,,,,,,,,,,37
1890000,,,,,,,,,,,,,,,,,,,,,,,,69
514000,,,,,,,,,,,,,,,,,,,,,,,,40
282613,,,,,,,,,,,,,,,,,,,,,,,,22
309000,,,,,,,,,,,,,,,,,,,,,,,,5
400000,,,,,,,,,,,,,,,,,,,,,,,,38
310000,,,,,,,,,,,,,,,,,,,,,,,,38
253200,,,,,,,,,,,,,,,,,,,,,,,,25
334009,,,,,,,,,,,,,,,,,,,,,,,,37
500000,,,,,,,,,,,,,,,,,,,,,,,,50
441500,,,,,,,,,,,,,,,,,,,,,,,,37
685000,,,,,,,,,,,,,,,,,,,,,,,,47
327000,,,,,,,,,,,,,,,,,,,,,,,,51
450000,,,,,,,,,,,,,,,,,,,,,,,,58
356000,,,,,,,,,,,,,,,,,,,,,,,,6
525000,,,,,,,,,,,,,,,,,,,,,,,,58
675000,,,,,,,,,,,,,,,,,,,,,,,,65
875000,,,,,,,,,,,,,,,,,,,,,,,,56
345000,,,,,,,,,,,,,,,,,,,,,,,,26
695000,,,,,,,,,,,,,,,,,,,,,,,,59
350000,,,,,,,,,,,,,,,,,,,,,,,,37
695000,,,,,,,,,,,,,,,,,,,,,,,,57
400000,,,,,,,,,,,,,,,,,,,,,,,,11
330000,,,,,,,,,,,,,,,,,,,,,,,,16
265000,,,,,,,,,,,,,,,,,,,,,,,,11
630000,,,,,,,,,,,,,,,,,,,,,,,,54
312000,,,,,,,,,,,,,,,,,,,,,,,,47
156000,,,,,,,,,,,,,,,,,,,,,,,,1
300000,,,,,,,,,,,,,,,,,,,,,,,,9
1225000,,,,,,,,,,,,,,,,,,,,,,,,11
465000,,,,,,,,,,,,,,,,,,,,,,,,63
923990,,,,,,,,,,,,,,,,,,,,,,,,53
320000,,,,,,,,,,,,,,,,,,,,,,,,7
375000,,,,,,,,,,,,,,,,,,,,,,,,31
985000,,,,,,,,,,,,,,,,,,,,,,,,67
850000,,,,,,,,,,,,,,,,,,,,,,,,69
474900,,,,,,,,,,,,,,,,,,,,,,,,40
997000,,,,,,,,,,,,,,,,,,,,,,,,35
1302000,,,,,,,,,,,,,,,,,,,,,,,,47
209900,,,,,,,,,,,,,,,,,,,,,,,,21
602000,,,,,,,,,,,,,,,,,,,,,,,,50
1228000,,,,,,,,,,,,,,,,,,,,,,,,57
856000,,,,,,,,,,,,,,,,,,,,,,,,48
392000,,,,,,,,,,,,,,,,,,,,,,,,37
500000,,,,,,,,,,,,,,,,,,,,,,,,23
230000,,,,,,,,,,,,,,,,,,,,,,,,7
1145000,,,,,,,,,,,,,,,,,,,,,,,,65
560000,,,,,,,,,,,,,,,,,,,,,,,,25
355000,,,,,,,,,,,,,,,,,,,,,,,,54
785000,,,,,,,,,,,,,,,,,,,,,,,,67
447500,,,,,,,,,,,,,,,,,,,,,,,,50
540000,,,,,,,,,,,,,,,,,,,,,,,,43
252000,,,,,,,,,,,,,,,,,,,,,,,,7
455000,,,,,,,,,,,,,,,,,,,,,,,,18
619850,,,,,,,,,,,,,,,,,,,,,,,,62
1250000,,,,,,,,,,,,,,,,,,,,,,,,67
495000,,,,,,,,,,,,,,,,,,,,,,,,47
540000,,,,,,,,,,,,,,,,,,,,,,,,43
286651,,,,,,,,,,,,,,,,,,,,,,,,5
261000,,,,,,,,,,,,,,,,,,,,,,,,15
830000,,,,,,,,,,,,,,,,,,,,,,,,59
450000,,,,,,,,,,,,,,,,,,,,,,,,25
260000,,,,,,,,,,,,,,,,,,,,,,,,26
1450000,,,,,,,,,,,,,,,,,,,,,,,,69
480000,,,,,,,,,,,,,,,,,,,,,,,,17
270000,,,,,,,,,,,,,,,,,,,,,,,,23
1160000,,,,,,,,,,,,,,,,,,,,,,,,62
250000,,,,,,,,,,,,,,,,,,,,,,,,2
650000,,,,,,,,,,,,,,,,,,,,,,,,50
589950,,,,,,,,,,,,,,,,,,,,,,,,53
743700,,,,,,,,,,,,,,,,,,,,,,,,56
1925000,,,,,,,,,,,,,,,,,,,,,,,,51
316000,,,,,,,,,,,,,,,,,,,,,,,,13
