,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,second_sale,months_since_2010,bdrms_squared,sale_year,years_since_reno,recent_reno,zips_by_price,distance_from_space_needle,zips_by_price_ext,zips_by_price_ext_tidy,zips_by_price_ext_tidy_power,zips_by_liv_qual,mod_zips_by_liv_qual
0,2591820310,1412553600000000000,365000.0,4,2.25,2070,8893,2.0,0,0,4,8,2070,0,1986,0,98058,47.4388,-122.162,2390,7700,0,57.13347022587269,16,2014,28,0,18,244.511367511983,98058,51,0.2886741025695164,48,0.4867522559599717
1,7974200820,1408579200000000000,865000.0,5,3.0,2900,6730,1.0,0,0,5,8,1830,1070,1977,0,98115,47.6784,-122.285,2370,6283,0,55.62217659137577,25,2014,37,0,47,244.63430685188044,18,18,0.40117502503393276,16,0.7866278610665535
2,7701450110,1408060800000000000,1038000.0,4,2.5,3770,10893,2.0,0,2,3,11,3770,0,1997,0,98006,47.5646,-122.129,3710,9685,0,55.42505133470226,16,2014,17,0,62,244.4783063907716,6,6,0.5676807987404638,11,0.8478937040879159
3,9522300010,1427760000000000000,1490000.0,3,3.5,4560,14608,2.0,0,2,3,12,4560,0,1990,0,98034,47.6995,-122.228,4050,14226,0,62.91581108829569,9,2015,25,0,37,244.5773127587471,47,47,0.29622184111460487,27,0.6669768108584744
4,9510861140,1405296000000000000,711000.0,3,2.5,2550,5376,2.0,0,0,3,9,2550,0,2004,0,98052,47.6647,-122.083,2250,4050,0,54.37371663244353,9,2014,10,0,53,244.43230399628033,20,20,0.3880382357591938,3,0.9559974818331
5,1761300310,1409097600000000000,211000.0,4,2.0,1710,8288,1.5,0,0,3,7,1710,0,1970,0,98031,47.3947,-122.174,1710,7200,0,55.81930184804928,16,2014,44,0,10,244.5234042551551,98031,51,0.2886741025695164,56,0.43171052342907973
6,7732410120,1408406400000000000,790000.0,4,2.5,2690,8036,2.0,0,0,4,9,2690,0,1987,0,98007,47.6596,-122.144,2420,8087,0,55.5564681724846,16,2014,27,0,45,244.49330312648647,98007,51,0.2886741025695164,6,0.9139311852712282
7,7010701383,1413504000000000000,680000.0,3,2.5,1800,4400,1.0,0,0,5,7,1350,450,1970,0,98199,47.6599,-122.396,1920,4400,0,57.49486652977413,9,2014,44,0,58,244.74530317137854,12,12,0.45601457770245246,28,0.6570468198150567
8,291310170,1407110400000000000,384500.0,3,2.5,1600,2610,2.0,0,0,3,8,1600,0,2005,0,98027,47.5344,-122.068,1445,1288,0,55.063655030800824,9,2014,9,0,46,244.41731516506763,32,32,0.334481888696528,31,0.6281351051896409
9,4232901990,1400198400000000000,605000.0,2,1.0,910,3600,1.0,0,0,4,7,910,0,1909,0,98119,47.6341,-122.361,1720,3600,0,52.435318275154,4,2014,105,0,64,244.71030037791627,11,11,0.46872693595488435,19,0.7520142543193826
10,6840701125,1429660800000000000,638000.0,3,1.0,1830,4400,1.5,0,0,4,8,1720,110,1930,0,98122,47.6052,-122.3,1650,4400,0,63.63860369609856,9,2015,85,0,50,244.64930047841952,19,19,0.3943790732325413,7,0.9003245225862656
11,3971700580,1425340800000000000,385000.0,3,1.75,1930,14389,1.0,0,0,3,7,1130,800,1963,1998,98155,47.7733,-122.317,1730,14378,0,61.9958932238193,9,2015,17,0,24,244.6663477136363,50,50,0.2904861821078424,38,0.5655254386995371
12,4202400078,1422403200000000000,175000.0,2,1.0,1410,7000,1.0,0,0,3,7,1410,0,1968,0,98055,47.4908,-122.223,1540,6000,1,60.878850102669404,4,2015,47,0,12,244.57233439083006,98055,51,0.2886741025695164,52,0.4584060113052235
